transcripts,tags,speaker,intent
iberia four holding point bravo switch over to ground one two two decimal five five bye,B-CALLSIGN I-CALLSIGN B-ACTION I-ACTION B-TAXIWAY O O O B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-GREETING,controller,taxi
"air spring kine three niner seven two singapore ground morning standby , about four minutse",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER I-CONTROLLER B-GREETING B-ACTION O O O O,controller,standby
"izz niner nine zero two singapore ground , good afternoon",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING,controller,greet
"vietnam six traffic haead will be taxiing off shortly taxi to hotel nine niner , hold short to bravo eight zero",B-CALLSIGN I-CALLSIGN O B-QUALIFIER O O O O O B-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,traffic
bangladesh seven tree five hold short of bravo two nine monitor tower one osne eight decimal six thank you,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-GREETING I-GREETING,controller,taxi
copa three tree four taxi via zulu zulu nine bay sierra seven right,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION O B-TAXIWAY B-TAXIWAY I-TAXIWAY B-GATE I-GATE I-GATE I-GATE,controller,taxi
"iceland niner eight seven tower standby for push , number two iceland seven",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-ACTION O O O O O O O,controller,pushback
"copied , mike , parking apron zulu ieght six right , latam eight three eight",O O B-TAXIWAY O B-GATE I-GATE I-GATE I-GATE I-GATE I-GATE O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"qatari nine nine recleared whiskey eight nine , kilo one two , holding point whiskey three runway two zero right",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,taxi
"gulf air seven three , uehind qantas airbus a three thirty , taxi via zulu holding point delta ninre",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-QUALIFIER B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O B-ACTION O B-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY,controller,traffic
"firefly eight five nine eight two singapore ground good evening , standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER I-CONTROLLER B-GREETING I-GREETING O B-ACTION O O,controller,standby
lao air five tree nwner traffic ahead will be taxiing off shortly romeo holding point delta three five,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-QUALIFIER O O O O O B-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,traffic
spirit tree seven three quebec five lima pushback approved to face south,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GATE I-GATE I-GATE O B-STATUS O O B-QUALIFIER,controller,pushback
singapore ground iberia sucix eight nine five a very good morning,B-CONTROLLER I-CONTROLLER B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING I-GREETING I-GREETING,pilot,greet
"ground , good afternoon fily six eight niner , request taxi",B-CONTROLLER O B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O,pilot,other
"saudia two six zero hold short to alpha contact ground one two four decimal three , bye",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION I-ACTION O B-TAXIWAY B-ACTION B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-GREETING,controller,taxi
"royal nepal six , behind singapore airline seven three five nine from right to left , continue papa niner holding point xray runway two zero left",B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-QUALIFIER B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O B-QUALIFIER I-QUALIFIER I-QUALIFIER O B-ACTION B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,traffic
"tower evening indonesian zero at bay india seven right engine start complete , request pushback",B-CONTROLLER B-GREETING B-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE O O O O O O,pilot,other
"norwegian tree niner tree six three , ground goo day , standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER B-GREETING I-GREETING O B-ACTION O O,controller,standby
"airfrance five one five tree three , singapore one five four from left to right will be taxiing off shortly once traffic is cleared , taxi to romeo five hold short of echo five",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O B-QUALIFIER I-QUALIFIER I-QUALIFIER O O B-ACTION O O O O O O O B-ACTION O B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY,controller,traffic
"lufthansa one nine five two six , gate bravo three , pushback approved",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE O O B-STATUS,controller,pushback
"ryanair one five six zero hold short of hotel wto four , standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION O O,controller,standby
"ana tree two , traffic is jetstar asia taxiing on hotel from left to right , confirm your traffic in sight",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-VEHICLE I-VEHICLE B-ACTION O B-TAXIWAY O B-QUALIFIER I-QUALIFIER I-QUALIFIER O O O O O O,controller,traffic
